Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
Mohammed Shami,2023-2023,4,4,26.0,3,112,16,5/18,7.00,4.30,9.7,2,-,-,-
JJ Bumrah,2023-2023,8,8,63.5,5,233,15,4/39,15.53,3.65,25.5,-,-,1,-
RA Jadeja,2023-2023,8,8,64.3,4,243,14,5/33,17.35,3.76,27.6,1,-,4,-
Kuldeep Yadav,2023-2023,8,8,65.1,1,271,12,2/7,22.58,4.15,32.5,-,-,2,-
HH Pandya,2023-2023,4,4,16.3,-,113,5,2/34,22.60,6.84,19.8,-,-,1,-
Mohammed Siraj,2023-2023,8,8,60.3,5,317,10,3/16,31.70,5.23,36.3,-,-,-,-
R Ashwin,2023-2023,1,1,10.0,1,34,1,1/34,34.00,3.40,60.0,-,-,-,-
SN Thakur,2023-2023,3,3,17.0,-,102,2,1/31,51.00,6.00,51.0,-,-,1,-
V Kohli,2023-2023,8,1,0.3,-,2,0,-,-,4.00,-,-,-,5,-
Ishan Kishan,2023-2023,2,-,0.0,-,-,0,-,-,-,-,-,-,-,-
SS Iyer,2023-2023,8,-,0.0,-,-,0,-,-,-,-,-,-,5,-
KL Rahul,2023-2023,8,-,0.0,-,-,0,-,-,-,-,-,-,9,1
RG Sharma,2023-2023,8,-,0.0,-,-,0,-,-,-,-,-,-,1,-
Shubman Gill,2023-2023,6,-,0.0,-,-,0,-,-,-,-,-,-,5,-
SA Yadav,2023-2023,4,-,0.0,-,-,0,-,-,-,-,-,-,-,-
Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
Mohammad Nabi,2023-2023,9,9,61.3,4,254,8,3/28,31.75,4.13,46.1,-,-,5,-
Rashid Khan,2023-2023,9,9,86.3,2,388,11,3/37,35.27,4.48,47.1,-,-,3,-
Noor Ahmad,2023-2023,4,4,38.0,1,182,5,3/49,36.40,4.78,45.6,-,-,-,-
Fazalhaq Farooqi,2023-2023,6,6,40.0,2,228,6,4/34,38.00,5.70,40.0,-,-,1,-
Azmatullah Omarzai,2023-2023,9,9,38.0,1,270,7,2/52,38.57,7.10,32.5,-,-,1,-
Naveen-ul-Haq,2023-2023,8,8,53.4,1,352,8,2/47,44.00,6.55,40.2,-,-,2,-
Mujeeb Ur Rahman,2023-2023,9,9,81.5,2,458,8,3/51,57.25,5.59,61.3,-,-,1,-
Rahmat Shah,2023-2023,9,1,1.0,-,12,0,-,-,12.00,-,-,-,2,-
Hashmatullah Shahidi,2023-2023,9,-,0.0,-,-,0,-,-,-,-,-,-,-,-
Ibrahim Zadran,2023-2023,9,-,0.0,-,-,0,-,-,-,-,-,-,5,-
Ikram Alikhil,2023-2023,7,-,0.0,-,-,0,-,-,-,-,-,-,6,1
Najibullah Zadran,2023-2023,2,-,0.0,-,-,0,-,-,-,-,-,-,-,-
Rahmanullah Gurbaz,2023-2023,9,-,0.0,-,-,0,-,-,-,-,-,-,2,-
Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
A Zampa,2023-2023,9*,9,79.0,1,416,22,4/8,18.90,5.26,21.5,-,-,1,-
SA Abbott,2023-2023,1*,1,10.0,-,61,2,2/61,30.50,6.10,30.0,-,-,1,-
JR Hazlewood,2023-2023,9*,9,75.1,5,377,12,3/38,31.41,5.01,37.5,-,-,4,-
MP Stoinis,2023-2023,6*,6,19.0,-,143,4,2/40,35.75,7.52,28.5,-,-,2,-
PJ Cummins,2023-2023,9*,9,69.5,1,430,10,2/32,43.00,6.15,41.9,-,-,3,-
MA Starc,2023-2023,8,8,67.0,1,439,10,2/43,43.90,6.55,40.2,-,-,6,-
MR Marsh,2023-2023,8*,4,11.0,-,91,2,2/19,45.50,8.27,33.0,-,-,-,-
GJ Maxwell,2023-2023,7,6,52.3,1,260,5,2/34,52.00,4.95,63.0,-,-,3,-
TM Head,2023-2023,4*,3,14.0,-,76,0,-,-,5.42,-,-,-,1,-
C Green,2023-2023,3,1,2.0,-,11,0,-,-,5.50,-,-,-,2,-
AT Carey,2023-2023,1,-,0.0,-,-,0,-,-,-,-,-,-,-,-
JP Inglis,2023-2023,8*,-,0.0,-,-,0,-,-,-,-,-,-,7,2
M Labuschagne,2023-2023,9*,-,0.0,-,-,0,-,-,-,-,-,-,8,-
SPD Smith,2023-2023,8*,-,0.0,-,-,0,-,-,-,-,-,-,-,-
DA Warner,2023-2023,9*,-,0.0,-,-,0,-,-,-,-,-,-,7,-
Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
Mahedi Hasan,2023-2023,3*,2,15.0,-,111,6,4/71,18.50,7.40,15.0,-,-,1,-
Tanzim Hasan Sakib,2023-2023,1,1,10.0,-,80,3,3/80,26.66,8.00,20.0,-,-,-,-
Mehidy Hasan Miraz,2023-2023,9*,8,66.0,3,355,10,3/25,35.50,5.37,39.6,-,-,2,-
Shakib Al Hasan,2023-2023,7,7,62.3,1,329,9,3/30,36.55,5.26,41.6,-,-,2,-
Shoriful Islam,2023-2023,8,8,64.4,3,409,10,3/75,40.90,6.32,38.8,-,-,1,-
Hasan Mahmud,2023-2023,2,2,14.0,-,132,3,2/67,44.00,9.42,28.0,-,-,-,-
Taskin Ahmed,2023-2023,7*,6,45.0,3,244,4,2/43,61.00,5.42,67.5,-,-,-,-
Mustafizur Rahman,2023-2023,8*,7,56.0,2,322,4,2/36,80.50,5.75,84.0,-,-,1,-
Najmul Hossain Shanto,2023-2023,9*,1,1.0,-,5,0,-,-,5.00,-,-,-,2,-
Nasum Ahmed,2023-2023,3*,2,14.3,-,87,0,-,-,6.00,-,-,-,1,-
Mahmudullah,2023-2023,8*,3,5.0,-,33,0,-,-,6.60,-,-,-,5,-
Litton Das,2023-2023,9*,-,0.0,-,-,0,-,-,-,-,-,-,5,-
Mushfiqur Rahim,2023-2023,9*,-,0.0,-,-,0,-,-,-,-,-,-,4,1
Tanzid Hasan,2023-2023,9*,-,0.0,-,-,0,-,-,-,-,-,-,3,-
Towhid Hridoy,2023-2023,7*,-,0.0,-,-,0,-,-,-,-,-,-,4,-
Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
RJW Topley,2023-2023,3,3,27.4,2,183,8,4/43,22.87,6.61,20.7,-,-,-,-
DJ Willey,2023-2023,6*,5,41.0,6,203,8,3/45,25.37,4.95,30.7,-,-,1,-
AU Rashid,2023-2023,9*,8,69.4,1,358,13,3/42,27.53,5.13,32.1,-,-,2,-
CR Woakes,2023-2023,8*,7,49.3,1,271,9,4/54,30.11,5.47,33.0,-,-,3,-
AAP Atkinson,2023-2023,3*,2,16.0,-,101,2,2/60,50.50,6.31,48.0,-,-,-,-
LS Livingstone,2023-2023,6,6,29.0,1,158,3,1/13,52.66,5.44,58.0,-,-,2,-
MA Wood,2023-2023,7,7,54.0,1,349,6,2/50,58.16,6.46,54.0,-,-,1,-
MM Ali,2023-2023,6*,5,32.4,-,188,3,3/42,62.66,5.75,65.3,-,-,4,-
JE Root,2023-2023,9*,2,10.1,-,67,1,1/19,67.00,6.59,61.0,-,-,5,-
SM Curran,2023-2023,3,3,17.2,2,140,2,1/47,70.00,8.07,52.0,-,-,1,-
JM Bairstow,2023-2023,9*,-,0.0,-,-,0,-,-,-,-,-,-,5,-
HC Brook,2023-2023,6*,-,0.0,-,-,0,-,-,-,-,-,-,-,-
JC Buttler,2023-2023,9*,-,0.0,-,-,0,-,-,-,-,-,-,9,2
DJ Malan,2023-2023,9*,-,0.0,-,-,0,-,-,-,-,-,-,3,-
BA Stokes,2023-2023,6*,-,0.0,-,-,0,-,-,-,-,-,-,3,-
Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
BFW de Leede,2023-2023,8,7,57.0,-,405,14,4/62,28.92,7.10,24.4,-,-,5,-
LV van Beek,2023-2023,7,7,60.5,1,369,12,4/74,30.75,6.06,30.4,-,-,2,-
PA van Meekeren,2023-2023,8,8,64.2,1,357,11,4/23,32.45,5.54,35.0,-,-,2,-
A Dutt,2023-2023,8,8,70.3,6,374,10,3/44,37.40,5.30,42.3,-,-,5,-
Saqib Zulfiqar,2023-2023,2,2,5.0,-,40,1,1/25,40.00,8.00,30.0,-,-,3,-
CN Ackermann,2023-2023,8,8,44.2,2,209,5,2/39,41.80,4.71,53.2,-,-,3,-
RE van der Merwe,2023-2023,7,7,46.0,-,258,5,2/34,51.60,5.60,55.2,-,-,2,-
R Klein,2023-2023,1,1,7.0,1,41,0,-,-,5.85,-,-,-,-,-
Shariz Ahmad,2023-2023,1,1,2.0,-,13,0,-,-,6.50,-,-,-,-,-
Vikramjit Singh,2023-2023,6,3,7.0,-,52,0,-,-,7.42,-,-,-,1,-
W Barresi,2023-2023,3,-,0.0,-,-,0,-,-,-,-,-,-,-,-
SA Edwards,2023-2023,8,-,0.0,-,-,0,-,-,-,-,-,-,13,2
SA Engelbrecht,2023-2023,7,-,0.0,-,-,0,-,-,-,-,-,-,5,-
AT Nidamanuru,2023-2023,6,-,0.0,-,-,0,-,-,-,-,-,-,1,-
MP O'Dowd,2023-2023,8,-,0.0,-,-,0,-,-,-,-,-,-,-,-
Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
LH Ferguson,2023-2023,6,6,46.0,3,236,10,3/19,23.60,5.13,27.6,-,-,-,-
MJ Santner,2023-2023,9,9,82.4,3,398,16,5/59,24.87,4.81,31.0,1,-,5,-
MJ Henry,2023-2023,7,7,54.2,3,315,11,3/40,28.63,5.79,29.6,-,-,5,-
TA Boult,2023-2023,9,9,81.0,6,418,13,3/37,32.15,5.16,37.3,-,-,4,-
GD Phillips,2023-2023,9,9,35.0,1,200,6,3/37,33.33,5.71,35.0,-,-,4,-
TG Southee,2023-2023,3,3,23.0,-,156,4,2/77,39.00,6.78,34.5,-,-,-,-
R Ravindra,2023-2023,9,8,58.4,-,333,5,2/21,66.60,5.67,70.4,-,-,3,-
JDS Neesham,2023-2023,3,3,14.3,-,157,2,1/32,78.50,10.82,43.5,-,-,1,-
DJ Mitchell,2023-2023,9,2,1.3,-,12,0,-,-,8.00,-,-,-,10,-
IS Sodhi,2023-2023,1,1,4.0,-,44,0,-,-,11.00,-,-,-,-,-
MS Chapman,2023-2023,7,-,0.0,-,-,0,-,-,-,-,-,-,1,-
DP Conway,2023-2023,9,-,0.0,-,-,0,-,-,-,-,-,-,5,-
TWM Latham,2023-2023,9,-,0.0,-,-,0,-,-,-,-,-,-,9,-
KS Williamson,2023-2023,3,-,0.0,-,-,0,-,-,-,-,-,-,1,-
WA Young,2023-2023,6,-,0.0,-,-,0,-,-,-,-,-,-,2,-
