Player,Country,Opponent,Matches,Innings,Not_Out,Hundreds,Fifties,Runs,Average
Virat Kohli,India,Afghanistan,3,2,1,0,2,122,122.00
Virat Kohli,India,Australia,48,46,3,8,13,2313,53.79
Virat Kohli,India,Bangladesh,16,16,4,5,3,910,75.83
Virat Kohli,India,England,36,36,4,3,9,1340,41.88
Virat Kohli,India,Ireland,2,2,1,0,0,78,78.00
Virat Kohli,India,Nepal,1,0,0,0,0,0,
Virat Kohli,India,Netherlands,2,2,0,0,1,63,31.50
Virat Kohli,India,New Zealand,30,30,3,5,9,1528,56.59
Virat Kohli,India,Pakistan,16,16,3,3,2,678,52.15
Virat Kohli,India,South Africa,31,29,6,5,8,1504,65.39
Virat Kohli,India,Sri Lanka,53,51,10,10,12,2594,63.27
Virat Kohli,India,United Arab Emirates,1,1,1,0,0,33,
Virat Kohli,India,West Indies,43,41,7,9,11,2261,66.50
Virat Kohli,India,Zimbabwe,8,6,1,1,1,253,50.60
Virat Kohli,India,Overall (14),290,278,44,49,71,13677,58.45
Rohit Sharma,India,Afghanistan,3,3,1,1,0,150,75.00
Rohit Sharma,India,Australia,44,44,4,8,9,2332,58.30
Rohit Sharma,India,Bangladesh,17,17,3,3,3,786,56.14
Rohit Sharma,India,England,20,20,5,2,4,724,48.27
Rohit Sharma,India,Hong Kong,2,2,0,0,0,34,17.00
Rohit Sharma,India,Ireland,2,1,0,0,1,64,64.00
Rohit Sharma,India,Nepal,1,1,1,0,1,74,
Rohit Sharma,India,Netherlands,1,1,0,0,1,61,61.00
Rohit Sharma,India,New Zealand,28,26,1,2,5,935,37.40
Rohit Sharma,India,Pakistan,19,19,2,2,8,873,51.35
Rohit Sharma,India,South Africa,26,25,1,3,2,806,33.58
Rohit Sharma,India,Sri Lanka,52,50,9,6,7,1864,45.46
Rohit Sharma,India,United Arab Emirates,1,1,1,0,1,57,
Rohit Sharma,India,West Indies,37,35,7,3,12,1613,57.61
Rohit Sharma,India,Zimbabwe,7,7,1,1,1,242,40.33
Rohit Sharma,India,Overall (15),260,252,36,31,55,10615,49.14
Shubman Gill,India,Australia,6,6,0,1,1,268,44.67
Shubman Gill,India,Bangladesh,2,2,0,1,1,174,87.00
Shubman Gill,India,England,1,1,0,0,0,9,9.00
Shubman Gill,India,Nepal,1,1,1,0,1,67,
Shubman Gill,India,Netherlands,1,1,0,0,1,51,51.00
